Date,EURO/USD_Value
12/31/2005,1.18641
11/30/2005,1.17218
10/31/2005,1.20881
9/30/2005,1.20429
8/31/2005,1.22258
7/31/2005,1.21158
6/30/2005,1.20616
5/31/2005,1.25028
4/30/2005,1.29095
3/31/2005,1.29168
2/28/2005,1.32287
1/31/2005,1.30344
12/31/2004,1.36269
11/30/2004,1.32746
10/31/2004,1.27265
9/30/2004,1.23236
8/31/2004,1.20392
7/31/2004,1.20357
6/30/2004,1.21204
5/31/2004,1.22508
4/30/2004,1.19289
3/31/2004,1.21635
2/29/2004,1.24576
1/31/2004,1.24435
12/31/2003,1.25277
11/30/2003,1.19214
10/31/2003,1.16459
9/30/2003,1.15472
8/31/2003,1.08753
7/31/2003,1.13809
6/30/2003,1.14325
5/31/2003,1.18516
4/30/2003,1.10469
3/31/2003,1.07582
2/28/2003,1.07678
1/31/2003,1.08211
12/31/2002,1.04624
11/30/2002,0.993081
10/31/2002,0.98405
9/30/2002,0.979449
8/31/2002,0.982841
7/31/2002,0.98251
6/30/2002,0.985362
5/31/2002,0.936605
4/30/2002,0.902889
3/31/2002,0.871544
2/28/2002,0.865098
1/31/2002,0.862856
12/31/2001,0.88488
11/30/2001,0.888337
10/31/2001,0.904661
9/30/2001,0.919836
8/31/2001,0.914216
7/31/2001,0.875481
6/30/2001,0.850702
5/31/2001,0.85609
4/30/2001,0.89534
3/31/2001,0.884093
2/28/2001,0.915534
1/31/2001,0.92287
12/31/2000,0.929988
11/30/2000,0.857259
10/31/2000,0.840688
9/30/2000,0.880823
8/31/2000,0.893055
7/31/2000,0.92747
6/30/2000,0.948263
5/31/2000,0.928731
4/30/2000,0.915144
3/31/2000,0.95739
2/29/2000,0.973053
1/31/2000,0.981571
12/31/1999,1.00534
11/30/1999,1.00968
10/31/1999,1.05141
9/30/1999,1.0617
8/31/1999,1.06035
7/31/1999,1.03527
6/30/1999,1.03775
5/31/1999,1.06281
4/30/1999,1.07044
3/31/1999,1.0883
2/28/1999,1.12077
1/31/1999,1.16078
12/31/1998,1.17213
11/30/1998,1.16442
10/31/1998,1.19376
9/30/1998,1.15413
8/31/1998,1.10157
7/31/1998,1.0975
6/30/1998,1.10141
5/31/1998,1.10905
4/30/1998,1.09107
3/31/1998,1.08433
2/28/1998,1.08845
1/31/1998,1.08772
12/31/1997,1.11158
11/30/1997,1.13937
10/31/1997,1.12033
9/30/1997,1.09991
8/31/1997,1.07273
7/31/1997,1.10492
6/30/1997,1.13664
5/31/1997,1.14935
4/30/1997,1.14502
3/31/1997,1.14975
2/28/1997,1.16576
1/31/1997,1.21622
12/31/1996,1.250265
11/30/1996,1.27691
10/31/1996,1.25841
9/30/1996,1.26906
8/31/1996,1.28326
7/31/1996,1.27063
6/30/1996,1.252915
5/31/1996,1.24669
4/30/1996,1.263905
3/31/1996,1.28135
2/29/1996,1.2886
1/31/1996,1.29183
12/31/1995,1.30432
11/30/1995,1.32381
10/31/1995,1.32216
9/30/1995,1.28881
8/31/1995,1.30442
7/31/1995,1.34483
6/30/1995,1.33144
5/31/1995,1.32165
4/30/1995,1.34143
3/31/1995,1.31707
2/28/1995,1.2587
1/31/1995,1.24081
12/31/1994,1.21584
11/30/1994,1.24371
10/31/1994,1.26092
