Date,Oil_Value
3/12/2014,98.29
3/11/2014,100.29
3/10/2014,101.39
3/7/2014,102.82
3/6/2014,101.82
3/5/2014,101.75
3/4/2014,103.64
3/3/2014,105.34
2/28/2014,102.88
2/27/2014,102.68
2/26/2014,102.93
2/25/2014,102.2
2/24/2014,103.17
2/21/2014,102.53
2/20/2014,103.2
2/19/2014,103.46
2/18/2014,102.54
2/14/2014,100.31
2/13/2014,100.27
2/12/2014,100.38
2/11/2014,99.96
2/10/2014,100.12
2/7/2014,99.98
2/6/2014,97.84
2/5/2014,97.4
2/4/2014,97.24
2/3/2014,96.44
1/31/2014,97.55
1/30/2014,98.25
1/29/2014,97.34
1/28/2014,97.49
1/27/2014,95.82
1/24/2014,96.66
1/23/2014,97.23
1/22/2014,96.35
1/21/2014,94.51
1/17/2014,93.96
1/16/2014,93.54
1/15/2014,93.78
1/14/2014,92.15
1/13/2014,91.45
1/10/2014,92.39
1/9/2014,91.36
1/8/2014,91.9
1/7/2014,93.31
1/6/2014,93.12
1/3/2014,93.66
1/2/2014,95.14
12/31/2013,98.17
12/30/2013,98.9
12/27/2013,99.94
12/26/2013,99.18
12/24/2013,98.87
12/23/2013,98.62
12/20/2013,99.11
12/19/2013,98.4
12/18/2013,97.59
12/17/2013,96.99
12/16/2013,97.18
12/13/2013,96.27
12/12/2013,97.21
12/11/2013,97.25
12/10/2013,98.32
12/9/2013,97.1
12/6/2013,97.48
12/5/2013,97.14
12/4/2013,96.97
12/3/2013,95.83
12/2/2013,93.61
11/29/2013,92.55
11/27/2013,92.05
11/26/2013,93.41
11/25/2013,93.86
11/22/2013,94.53
11/21/2013,95.35
11/20/2013,93.34
11/19/2013,93.35
11/18/2013,93.03
11/15/2013,93.8
11/14/2013,93.76
11/13/2013,93.91
11/12/2013,93.12
11/11/2013,95.13
11/8/2013,94.56
11/7/2013,94.25
11/6/2013,94.74
11/5/2013,93.4
11/4/2013,94.58
11/1/2013,94.56
10/31/2013,96.29
10/30/2013,96.81
10/29/2013,98.29
10/28/2013,98.74
10/25/2013,97.4
10/24/2013,96.65
10/23/2013,96.9
10/22/2013,97.63
10/21/2013,99.28
10/18/2013,100.87
10/17/2013,100.72
10/16/2013,102.34
10/15/2013,101.15
10/14/2013,102.46
10/11/2013,102.17
10/10/2013,103.08
10/9/2013,101.63
10/8/2013,103.54
10/7/2013,103.07
10/4/2013,103.83
10/3/2013,103.29
10/2/2013,104.15
10/1/2013,102.09
